Year,Fish_Camp,Total_Whitefish,Total_Cisco,Total_Trout,Mature_Whitefish,Mature_Cisco,Mature_Trout,Proportion_Mature_Whitefish,Proportion_Mature_Cisco,Proportion_Mature_Trout,Mean_Length_Whitefish,Mean_Length_Cisco,Mean_Length_Trout,Max_Fishing_Effort
2007,Black Stone Bay,781,230,29,410,162,14,53,70,48,15.6,13.7,15.2,31
1989,Goose Island,1568,392,136,1175,378,120,75,96,78,,,,
1990,Goose Island,1608,1400,336,980,1287,283,61,92,84,,,,
1991,Goose Island,1859,1402,164,806,1379,142,43,98,87,,,,
1992,Goose Island,2006,843,140,961,841,116,48,100,83,,,,
1993,Goose Island,3258,1353,159,2111,1361,135,65,1001,85,,,,
1994,Goose Island,2558,1167,209,1681,1167,194,66,100,93,,,,
1995,Goose Island,947,1131,155,650,1131,143,69,100,92,,,,
1996,Goose Island,782,577,261,413,577,236,53,100,90,,,,
2003,Goose Island,1277,758,80,630,731,73,49,96,91,15.4,14.4,16.8,39
2007,Goose Island,2069,188,81,1085,158,64,52,84,79,15.5,14,16,31
2009,Goose Island,805,89,19,399,72,18,50,81,95,15.5,13.3,16.8,19
2011,Goose Island,130,291,6,55,264,6,42,91,100,15.3,15.5,15.8,26
1989,Moar Bay,3486,313,317,1878,302,225,54,96,71,,,,
1990,Moar Bay,3510,471,407,1833,453,293,52,96,72,,,,
1991,Moar Bay,3473,743,303,1841,730,215,53,98,71,,,,
1992,Moar Bay,2675,447,298,1449,437,230,54,98,77,,,,
1993,Moar Bay,3111,765,257,1221,730,165,39,95,64,,,,
1994,Moar Bay,2038,320,151,1231,291,119,60,91,79,,,,
1995,Moar Bay,1454,171,113,839,160,91,58,94,81,,,,
1996,Moar Bay,1219,186,154,743,180,127,61,97,83,,,,
2003,Moar Bay,983,115,252,481,97,149,49,84,59,15.4,14,14.8,39
2004,Moar Bay,1378,131,90,768,131,39,56,100,43,15.7,13.8,14.6,41
2005,Moar Bay,843,70,117,260,68,88,31,97,75,14.9,13.8,15.5,38
2006,Moar Bay,1613,195,172,699,184,60,43,94,35,15.3,14.3,14.2,26
2007,Moar Bay,1245,131,208,613,125,126,49,95,61,15.5,14.8,15.2,31
2008,Moar Bay,1158,183,180,459,182,110,40,100,61,15.2,14.2,14.8,32
2009,Moar Bay,1276,96,237,451,87,181,35,91,76,15.2,14.5,15.9,19
2010,Moar Bay,1164,94,42,721,83,25,62,88,60,16,13.4,15.2,22
2011,Moar Bay,860,23,63,705,22,51,82,96,81,16.4,15,15.9,26
1989,Old Factory,2228,881,179,1462,786,102,66,89,57,,,,
1990,Old Factory,2505,562,341,1707,489,212,68,87,62,,,,
1991,Old Factory,3364,532,344,2881,532,331,86,100,96,,,,
1992,Old Factory,2467,913,269,1616,913,171,66,100,64,,,,
1993,Old Factory,2870,493,314,2030,405,191,71,82,61,,,,
1994,Old Factory,2355,453,435,1827,423,300,78,93,69,,,,
1995,Old Factory,1441,202,243,913,173,145,63,86,60,,,,
1996,Old Factory,1290,150,154,928,135,103,72,90,67,,,,
2003,Old Factory,1436,124,76,1124,123,53,78,99,70,16.6,14.2,15.4,39
2004,Old Factory,879,359,56,524,359,39,60,100,70,16.1,14.4,15.2,41
2005,Old Factory,1359,219,172,804,217,92,59,99,54,16.1,14.7,15,38
2006,Old Factory,1171,205,70,706,203,36,60,99,51,16,14.8,14.4,26
2007,Old Factory,1529,131,84,980,122,45,64,93,54,16.2,13.9,14.4,31
2008,Old Factory,984,50,65,716,47,33,73,94,51,16.4,14.7,14.7,32
2009,Old Factory,939,47,40,544,47,40,58,100,59,16.1,14.6,15.1,19
2010,Old Factory,1387,35,52,983,33,33,71,94,64,16.4,13.7,15.4,22
2011,Old Factory,842,175,70,509,156,53,61,89,76,15.9,13.9,15.6,26
2004,Paint Hills Bay,705,1004,16,374,1002,11,53,100,69,15.7,14,15.1,41
2008,Paint Hills Bay,1374,172,107,953,169,75,69,98,70,16.2,14.6,15.2,32
2004,Paint Hills Island,798,166,10,461,163,6,58,98,60,15.7,14,15.1,41
2009,Rabbits Ridge,231,118,40,231,118,40,100,100,100,17.8,15.9,17.1,19
2010,Rabbits Ridge,601,14,10,596,11,9,99,79,90,17.5,13.4,16.3,22
2003,Rabits Ridge,305,94,75,217,92,68,71,98,91,16.2,16.1,16.4,39
2005,Rabits Ridge,894,156,59,613,145,36,69,93,61,16.2,14.6,14.8,38
2010,Sculpin Island,1345,73,14,1131,63,8,84,86,57,16.6,14.2,14.9,22
2011,Sculpin Island,1941,140,16,1685,139,12,87,99,75,16.7,14.8,15.5,26
2003,Shephard's Island,1786,180,81,1348,170,59,76,94,73,16.4,14.8,15.4,39
2004,Shephard's Island,1086,111,103,651,107,60,60,96,58,16,14.4,14.7,41
2005,Shephard's Island,1123,134,43,680,132,36,61,99,84,15.9,15.8,16.2,38
2006,Shephard's Island,1045,133,20,701,131,20,67,99,100,16.1,15.5,16.1,26
2007,Shephard's Island,1338,143,44,1100,140,37,82,98,84,16.5,16,16.1,31
2008,Shephard's Island,1471,124,66,1061,118,52,72,95,79,16.2,15,15.3,32
2009,Shephard's Island,881,70,96,614,66,84,70,94,88,16.2,15,15.9,19
2010,Shephard's Island,842,10,41,563,9,34,67,90,83,16.1,15,15.6,22
2011,Shephard's Island,1010,73,12,840,73,9,83,100,75,16.4,16.1,15.8,26
